case,kind,n,backend,status,validation,median_ms,min_ms,max_ms,max_peak_rss_kib,max_hwm_growth_kib,intervals,reason
check_square_full_h0,semantic,4,cocycle,completed,passed,0.003075,0.003075,0.003075,1084,0,4,
check_square_full_h0,semantic,4,gudhi_cpp,completed,passed,0.014347,0.014347,0.014347,2008,0,4,
check_square_full_h0,semantic,4,ripser_cpp,completed,passed,0.005861,0.005861,0.005861,1936,0,4,
check_square_full_h0,semantic,4,gudhi_collapse_cpp,completed,passed,0.013014,0.013014,0.013014,2020,0,4,
check_square_full_h1,semantic,4,ripser_cpp,completed,passed,0.009568,0.009568,0.009568,1996,0,5,
check_square_full_h1,semantic,4,cocycle,completed,passed,0.008026,0.008026,0.008026,1088,0,5,
check_square_full_h1,semantic,4,gudhi_cpp,completed,passed,0.023624,0.023624,0.023624,2000,0,5,
check_square_full_h1,semantic,4,gudhi_collapse_cpp,completed,passed,0.020719,0.020719,0.020719,1968,0,5,
check_square_isolated_h0,semantic,4,gudhi_cpp,completed,passed,0.008996,0.008996,0.008996,1976,0,4,
check_square_isolated_h0,semantic,4,cocycle,completed,passed,0.002314,0.002314,0.002314,1068,0,4,
check_square_isolated_h0,semantic,4,gudhi_collapse_cpp,completed,passed,0.009768,0.009768,0.009768,1980,0,4,
check_square_isolated_h0,semantic,4,ripser_cpp,completed,passed,0.006251,0.006251,0.006251,1912,0,4,
check_square_isolated_h1,semantic,4,gudhi_collapse_cpp,completed,passed,0.007164,0.007164,0.007164,2000,0,4,
check_square_isolated_h1,semantic,4,gudhi_cpp,completed,passed,0.008275,0.008275,0.008275,2024,0,4,
check_square_isolated_h1,semantic,4,ripser_cpp,completed,passed,0.00553,0.00553,0.00553,2016,0,4,
